"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARTIARTL","EQ","26-Feb-2018","        425.55","        430.00","        430.00","        420.85","        423.00","        423.15","        424.12","    3669690","          1556392206.95","      56678","    2293397","         62.50"
"BHARTIARTL","EQ","27-Feb-2018","        423.15","        425.80","        432.65","        424.30","        431.95","        430.50","        428.32","    4675953","          2002810239.95","      72736","    2794127","         59.76"
"BHARTIARTL","EQ","28-Feb-2018","        430.50","        430.00","        433.50","        425.90","        430.00","        428.55","        428.73","   23360784","         10015547850.00","     130036","   16965822","         72.63"
"BHARTIARTL","EQ","01-Mar-2018","        428.55","        429.05","        436.60","        425.75","        426.30","        427.75","        432.43","    5260644","          2274864995.30","      63861","    2757284","         52.41"
"BHARTIARTL","EQ","05-Mar-2018","        427.75","        426.95","        427.10","        417.60","        422.00","        421.45","        422.32","    3482148","          1470564009.60","      51073","    2012157","         57.78"
"BHARTIARTL","EQ","06-Mar-2018","        421.45","        423.70","        427.65","        410.60","        410.65","        413.90","        421.39","    3789549","          1596867751.80","      53682","    2183595","         57.62"
"BHARTIARTL","EQ","07-Mar-2018","        413.90","        410.65","        416.30","        391.25","        402.95","        403.20","        403.48","   10873348","          4387202276.95","      77729","    5046557","         46.41"
"BHARTIARTL","EQ","08-Mar-2018","        403.20","        411.50","        414.10","        395.00","        402.00","        401.30","        406.07","    7808565","          3170860649.40","      67782","    2000020","         25.61"
"BHARTIARTL","EQ","09-Mar-2018","        401.30","        404.90","        408.50","        397.55","        403.05","        402.15","        403.65","    4590422","          1852902775.50","      51220","    1457767","         31.76"
"BHARTIARTL","EQ","12-Mar-2018","        402.15","        405.00","        424.50","        404.00","        423.10","        421.55","        415.19","    7558993","          3138406645.80","      81680","    2642404","         34.96"
"BHARTIARTL","EQ","13-Mar-2018","        421.55","        423.00","        429.80","        420.15","        427.50","        426.30","        424.65","    5148679","          2186404117.15","      51238","    2235470","         43.42"
"BHARTIARTL","EQ","14-Mar-2018","        426.30","        425.90","        425.90","        418.55","        421.30","        422.60","        421.47","    3780338","          1593287326.95","      34825","    1984125","         52.49"
"BHARTIARTL","BL","15-Mar-2018","        416.05","        416.50","        416.50","        416.50","        416.50","        416.50","        416.50","     675000","           281137500.00","          1","     675000","        100.00"
"BHARTIARTL","EQ","15-Mar-2018","        422.60","        422.60","        424.30","        417.25","        420.50","        420.45","        420.51","    3277154","          1378090972.70","      33697","    1467412","         44.78"
"BHARTIARTL","EQ","16-Mar-2018","        420.45","        415.25","        426.75","        413.65","        419.80","        416.75","        419.09","    7237424","          3033151322.10","      82953","    4151452","         57.36"
"BHARTIARTL","EQ","19-Mar-2018","        416.75","        418.00","        421.60","        396.70","        399.55","        399.65","        407.00","    5408078","          2201078297.45","      60218","    2476552","         45.79"
"BHARTIARTL","EQ","20-Mar-2018","        399.65","        399.00","        403.50","        392.70","        400.00","        400.40","        397.73","    7463026","          2968282482.30","      78485","    3663839","         49.09"
"BHARTIARTL","EQ","21-Mar-2018","        400.40","        403.00","        420.15","        402.20","        417.70","        418.20","        414.56","    8351422","          3462131491.65","      89398","    2687952","         32.19"
"BHARTIARTL","EQ","22-Mar-2018","        418.20","        414.00","        420.25","        412.10","        416.00","        415.60","        416.04","    4850714","          2018086895.30","      71771","    1713108","         35.32"
"BHARTIARTL","EQ","23-Mar-2018","        415.60","        412.65","        418.95","        405.20","        412.20","        412.70","        410.49","    5133743","          2107338020.25","      54173","    1912220","         37.25"
"BHARTIARTL","EQ","26-Mar-2018","        412.70","        412.00","        423.00","        406.60","        420.60","        421.50","        414.50","    4402440","          1824805264.75","      81083","    2170218","         49.30"
"BHARTIARTL","EQ","27-Mar-2018","        421.50","        422.00","        422.40","        408.20","        413.05","        413.20","        413.44","    6080433","          2513909840.35","      94123","    2433435","         40.02"
"BHARTIARTL","EQ","28-Mar-2018","        413.20","        411.00","        413.05","        395.40","        397.85","        398.70","        401.15","   10286301","          4126318686.65","     162980","    5343632","         51.95"
"BHARTIARTL","EQ","02-Apr-2018","        398.70","        399.50","        401.75","        390.50","        394.40","        395.10","        394.41","    4986921","          1966895002.65","      77480","    1841567","         36.93"
"BHARTIARTL","EQ","03-Apr-2018","        395.10","        391.25","        404.00","        391.25","        401.00","        402.20","        397.83","    4559620","          1813955454.45","      60880","    1413468","         31.00"
"BHARTIARTL","EQ","04-Apr-2018","        402.20","        404.00","        404.80","        392.95","        394.70","        395.05","        399.14","    3627666","          1447940373.30","      48147","    1129503","         31.14"
"BHARTIARTL","EQ","05-Apr-2018","        395.05","        398.10","        400.90","        391.15","        394.00","        393.90","        394.28","    8784680","          3463623310.75","      52388","    5603005","         63.78"
"BHARTIARTL","EQ","06-Apr-2018","        393.90","        394.20","        396.50","        383.10","        383.95","        384.95","        386.64","    8494868","          3284413652.60","      83866","    3966268","         46.69"
"BHARTIARTL","EQ","09-Apr-2018","        384.95","        382.90","        386.70","        376.65","        380.00","        380.30","        381.47","   11983251","          4571306956.25","     142012","    6765321","         56.46"
"BHARTIARTL","EQ","10-Apr-2018","        380.30","        381.05","        386.70","        374.50","        385.00","        385.55","        379.78","   11969955","          4545997178.15","     157925","    6956543","         58.12"
"BHARTIARTL","EQ","11-Apr-2018","        385.55","        388.00","        390.80","        383.35","        385.00","        385.30","        386.38","    6933891","          2679148436.45","      80776","    3371681","         48.63"
"BHARTIARTL","EQ","12-Apr-2018","        385.30","        384.00","        385.50","        379.20","        380.35","        380.20","        381.34","    4477422","          1707416690.85","      64072","    2397888","         53.56"
"BHARTIARTL","EQ","13-Apr-2018","        380.20","        382.95","        386.20","        375.80","        378.10","        377.90","        379.64","    6974242","          2647676875.30","      87210","    3721996","         53.37"
"BHARTIARTL","EQ","16-Apr-2018","        377.90","        377.00","        380.30","        374.50","        376.00","        376.65","        377.40","    3731213","          1408167173.50","      51526","    1728155","         46.32"
"BHARTIARTL","EQ","17-Apr-2018","        376.65","        377.00","        383.45","        374.15","        382.50","        382.05","        378.56","    5728575","          2168607760.80","      49434","    3046458","         53.18"
"BHARTIARTL","EQ","18-Apr-2018","        382.05","        383.70","        391.85","        382.35","        386.25","        384.25","        386.56","    5732851","          2216084653.95","      73819","    2524667","         44.04"
"BHARTIARTL","EQ","19-Apr-2018","        384.25","        388.75","        397.30","        385.45","        394.40","        395.35","        391.59","    3468687","          1358299935.55","      41526","     911980","         26.29"
"BHARTIARTL","EQ","20-Apr-2018","        395.35","        393.55","        403.70","        391.45","        401.75","        402.00","        397.85","    6753048","          2686678452.45","      55251","    2933913","         43.45"
"BHARTIARTL","EQ","23-Apr-2018","        402.00","        401.50","        406.50","        396.85","        404.30","        402.85","        403.38","    3780866","          1525130499.20","      43038","    1343510","         35.53"
"BHARTIARTL","EQ","24-Apr-2018","        402.85","        401.90","        408.60","        396.60","        406.00","        406.25","        402.57","    6292775","          2533280201.90","      57684","    1348618","         21.43"
"BHARTIARTL","EQ","25-Apr-2018","        406.25","        414.45","        427.40","        412.00","        418.05","        419.85","        420.42","   20000806","          8408722937.30","     190630","    4909401","         24.55"
"BHARTIARTL","EQ","26-Apr-2018","        419.85","        420.00","        420.00","        405.45","        406.90","        409.20","        411.68","   12504161","          5147761764.25","     104702","    7259451","         58.06"
"BHARTIARTL","EQ","27-Apr-2018","        409.20","        406.25","        411.75","        401.00","        408.95","        408.75","        406.79","    4518031","          1837905894.90","      52498","    1537596","         34.03"
"BHARTIARTL","EQ","30-Apr-2018","        408.75","        407.00","        413.25","        404.20","        410.00","        409.55","        409.60","    3274387","          1341174696.35","      66371","    1700817","         51.94"
"BHARTIARTL","EQ","02-May-2018","        409.55","        412.90","        412.90","        406.00","        409.60","        408.45","        408.60","    6087447","          2487328263.30","      53438","    4491203","         73.78"
"BHARTIARTL","EQ","03-May-2018","        408.45","        406.30","        408.00","        399.00","        405.05","        404.40","        403.77","    3716970","          1500808251.80","      50269","    2280544","         61.35"
"BHARTIARTL","EQ","04-May-2018","        404.40","        410.85","        418.35","        394.00","        398.00","        396.75","        405.42","   14415306","          5844289091.90","     110254","    6802983","         47.19"
"BHARTIARTL","EQ","07-May-2018","        396.75","        401.50","        404.55","        395.50","        398.50","        398.25","        400.03","    5906011","          2362589384.70","      37498","    3438302","         58.22"
"BHARTIARTL","EQ","08-May-2018","        398.25","        401.45","        402.95","        396.80","        401.70","        401.15","        399.95","    3565204","          1425907634.80","      63730","    1933170","         54.22"
"BHARTIARTL","EQ","09-May-2018","        401.15","        403.20","        409.50","        397.20","        403.85","        402.45","        403.14","    8129162","          3277179189.20","      47058","    4411329","         54.27"
"BHARTIARTL","EQ","10-May-2018","        402.45","        404.85","        413.70","        403.90","        410.50","        412.10","        409.31","    8132505","          3328710708.10","      54984","    4480153","         55.09"
"BHARTIARTL","EQ","11-May-2018","        412.10","        400.15","        402.70","        381.50","        386.05","        386.60","        389.19","   23031948","          8963692820.55","     252223","   11939964","         51.84"
"BHARTIARTL","EQ","14-May-2018","        386.60","        386.00","        394.00","        378.30","        383.00","        383.15","        386.20","    8853922","          3419389894.25","      87212","    3657169","         41.31"
"BHARTIARTL","EQ","15-May-2018","        383.15","        383.00","        388.15","        378.35","        383.00","        381.95","        382.08","    6379409","          2437449576.90","      85713","    3533024","         55.38"
"BHARTIARTL","EQ","16-May-2018","        381.95","        382.95","        382.95","        374.00","        376.00","        375.35","        376.83","    6098125","          2297965735.25","      75079","    3409291","         55.91"
"BHARTIARTL","EQ","17-May-2018","        375.35","        377.25","        378.95","        365.45","        368.05","        367.60","        371.49","    9012407","          3348049386.45","      78384","    5443789","         60.40"
"BHARTIARTL","EQ","18-May-2018","        367.60","        368.05","        368.05","        355.05","        362.95","        361.35","        360.42","   11205849","          4038854389.10","      85807","    5549969","         49.53"
"BHARTIARTL","EQ","21-May-2018","        361.35","        361.35","        369.25","        355.20","        356.95","        360.00","        364.41","    4941028","          1800584598.85","      48751","    2090714","         42.31"
"BHARTIARTL","EQ","22-May-2018","        360.00","        356.95","        371.10","        351.60","        361.80","        361.85","        362.92","    6522208","          2367049475.50","      72103","    2055841","         31.52"
"BHARTIARTL","EQ","23-May-2018","        361.85","        361.80","        365.80","        354.25","        357.40","        356.80","        359.94","    5952154","          2142446861.00","      70009","    2912648","         48.93"
"BHARTIARTL","EQ","24-May-2018","        356.80","        359.00","        373.90","        356.90","        372.30","        371.90","        366.24","    4503855","          1649493786.35","      69731","    1510862","         33.55"
"BHARTIARTL","EQ","25-May-2018","        371.90","        372.30","        380.00","        367.00","        377.60","        376.95","        375.35","    3735986","          1402311186.35","      45408","    1187726","         31.79"
"BHARTIARTL","EQ","28-May-2018","        376.95","        377.60","        380.80","        370.80","        375.00","        375.15","        376.48","    5957301","          2242789575.15","      75632","    3483421","         58.47"
"BHARTIARTL","EQ","29-May-2018","        375.15","        375.95","        381.70","        371.25","        381.10","        379.15","        376.91","    3477100","          1310545612.70","      53966","    1483573","         42.67"
"BHARTIARTL","EQ","30-May-2018","        379.15","        378.90","        378.90","        373.00","        376.10","        375.80","        375.03","    3368675","          1263360179.30","      43776","    1633458","         48.49"
"BHARTIARTL","EQ","31-May-2018","        375.80","        376.10","        383.20","        371.25","        373.90","        373.60","        374.71","   10796716","          4045672798.30","     101440","    6865179","         63.59"
"BHARTIARTL","EQ","01-Jun-2018","        373.60","        374.55","        385.90","        372.55","        384.00","        383.70","        379.99","    4099108","          1557619430.75","      42703","    1818366","         44.36"
"BHARTIARTL","EQ","04-Jun-2018","        383.70","        384.00","        386.75","        370.10","        373.20","        372.30","        378.28","    3567479","          1349512701.15","      54356","    1435975","         40.25"
"BHARTIARTL","EQ","05-Jun-2018","        372.30","        371.40","        372.25","        357.55","        364.45","        364.30","        362.71","    4989187","          1809611229.00","      88114","    1755251","         35.18"
"BHARTIARTL","EQ","06-Jun-2018","        364.30","        362.10","        381.90","        362.10","        380.70","        379.75","        374.47","    5016415","          1878498424.80","      70220","     818104","         16.31"
"BHARTIARTL","EQ","07-Jun-2018","        379.75","        379.70","        386.25","        375.00","        381.35","        379.95","        380.61","    3637971","          1384650480.40","      78326","    1049253","         28.84"
"BHARTIARTL","EQ","08-Jun-2018","        379.95","        379.50","        383.45","        372.25","        376.80","        377.55","        378.18","    3874201","          1465135807.70","      53316","    1178627","         30.42"
"BHARTIARTL","EQ","11-Jun-2018","        377.55","        377.75","        391.80","        377.75","        389.50","        388.80","        387.78","    5444048","          2111110945.65","      70053","     991665","         18.22"
"BHARTIARTL","EQ","12-Jun-2018","        388.80","        389.95","        393.40","        379.55","        380.45","        380.65","        384.68","    5527034","          2126158776.40","      69544","    1692464","         30.62"
"BHARTIARTL","EQ","13-Jun-2018","        380.65","        374.00","        382.90","        373.30","        376.00","        375.65","        377.63","    6698891","          2529693803.05","      84710","    2322376","         34.67"
"BHARTIARTL","EQ","14-Jun-2018","        375.65","        373.50","        384.00","        373.50","        376.50","        376.50","        378.11","    4703619","          1778485706.25","      51190","    1413057","         30.04"
"BHARTIARTL","EQ","15-Jun-2018","        376.50","        378.70","        380.25","        370.20","        377.95","        378.25","        375.31","    5713581","          2144345320.70","      74231","    3375324","         59.08"
"BHARTIARTL","EQ","18-Jun-2018","        378.25","        377.95","        380.90","        368.05","        369.50","        370.90","        375.78","    2812154","          1056762016.25","      55341","     973553","         34.62"
"BHARTIARTL","EQ","19-Jun-2018","        370.90","        371.00","        375.90","        369.20","        371.00","        371.20","        372.73","    3570887","          1330972602.15","      64713","    1035129","         28.99"
"BHARTIARTL","EQ","20-Jun-2018","        371.20","        372.50","        376.50","        370.45","        371.60","        371.90","        373.45","    2510768","           937634189.65","      36352","    1015476","         40.44"
"BHARTIARTL","EQ","21-Jun-2018","        371.90","        374.95","        375.00","        363.80","        369.95","        368.70","        369.86","    3841053","          1420645203.70","      62372","    1894419","         49.32"
"BHARTIARTL","EQ","22-Jun-2018","        368.70","        370.95","        376.50","        366.30","        373.00","        374.55","        371.81","    3068406","          1140859144.25","      49312","    1265952","         41.26"
"BHARTIARTL","EQ","25-Jun-2018","        374.55","        372.00","        377.95","        371.80","        373.35","        374.15","        374.61","    3008052","          1126833002.20","      65996","    1417769","         47.13"
"BHARTIARTL","EQ","26-Jun-2018","        374.15","        374.00","        382.75","        373.20","        379.10","        380.20","        379.59","    4318837","          1639390021.00","      61367","    2296536","         53.17"
"BHARTIARTL","EQ","27-Jun-2018","        380.20","        381.25","        381.55","        373.10","        377.80","        375.65","        376.68","    3412205","          1285297019.00","      69640","    1653344","         48.45"
"BHARTIARTL","EQ","28-Jun-2018","        375.65","        373.70","        381.40","        368.55","        380.45","        377.95","        376.28","    5857077","          2203903472.40","      54940","    3591463","         61.32"
"BHARTIARTL","EQ","29-Jun-2018","        377.95","        375.30","        383.30","        375.30","        381.40","        381.95","        380.73","    3443146","          1310910019.65","      51622","    1858004","         53.96"
"BHARTIARTL","EQ","02-Jul-2018","        381.95","        381.10","        381.40","        365.55","        368.50","        368.05","        371.04","    4391116","          1629274029.40","      52642","    2253174","         51.31"
"BHARTIARTL","EQ","03-Jul-2018","        368.05","        374.60","        374.60","        366.10","        369.00","        370.75","        369.90","    2787262","          1031021648.25","      47425","     694279","         24.91"
"BHARTIARTL","EQ","04-Jul-2018","        370.75","        370.85","        371.90","        362.70","        367.00","        367.40","        367.94","    3925362","          1444309597.65","      52008","    1521359","         38.76"
"BHARTIARTL","EQ","05-Jul-2018","        367.40","        365.00","        366.75","        359.65","        363.60","        363.40","        362.92","    6402876","          2323714028.65","      89561","    2472706","         38.62"
"BHARTIARTL","EQ","06-Jul-2018","        363.40","        362.00","        365.40","        359.90","        362.40","        362.25","        362.18","    7218013","          2614209028.35","     106610","    4631738","         64.17"
"BHARTIARTL","EQ","09-Jul-2018","        362.25","        366.00","        366.40","        361.60","        362.10","        362.10","        362.67","    4730035","          1715462451.60","      56575","    2862836","         60.52"
"BHARTIARTL","EQ","10-Jul-2018","        362.10","        362.50","        369.80","        362.50","        367.25","        367.80","        365.71","    1693780","           619438389.85","      32891","     550257","         32.49"
"BHARTIARTL","EQ","11-Jul-2018","        367.80","        368.90","        368.90","        360.90","        362.00","        362.00","        364.35","    1879248","           684696773.00","      44899","     883411","         47.01"
"BHARTIARTL","EQ","12-Jul-2018","        362.00","        365.00","        365.00","        360.35","        362.25","        362.15","        362.91","    2072184","           752025963.50","      37197","     862527","         41.62"
"BHARTIARTL","EQ","13-Jul-2018","        362.15","        364.00","        364.85","        357.35","        359.30","        358.95","        359.95","    4786772","          1722994230.45","      72194","    3120063","         65.18"
"BHARTIARTL","EQ","16-Jul-2018","        358.95","        356.00","        359.75","        344.80","        348.05","        347.40","        350.92","    3261119","          1144384433.35","      75843","    1474823","         45.22"
"BHARTIARTL","EQ","17-Jul-2018","        347.40","        347.00","        350.70","        340.00","        342.55","        342.55","        342.93","    4884957","          1675185846.80","      59889","    2473755","         50.64"
"BHARTIARTL","EQ","18-Jul-2018","        342.55","        344.10","        345.10","        331.00","        337.10","        336.80","        336.43","    4796681","          1613769791.30","      70728","    2110006","         43.99"
"BHARTIARTL","EQ","19-Jul-2018","        336.80","        339.00","        347.50","        337.60","        343.00","        345.00","        343.90","    4531466","          1558366966.65","      50143","    1667228","         36.79"
"BHARTIARTL","EQ","20-Jul-2018","        345.00","        343.00","        347.70","        340.35","        346.55","        345.40","        344.58","    3796397","          1308153217.95","      49343","    2181811","         57.47"
"BHARTIARTL","EQ","23-Jul-2018","        345.40","        345.50","        360.00","        345.00","        357.60","        358.95","        355.47","    3735930","          1328004372.45","      41040","    1349300","         36.12"
"BHARTIARTL","EQ","24-Jul-2018","        358.95","        361.40","        366.45","        355.25","        356.40","        356.80","        361.67","    3920957","          1418107471.75","      35566","    2055809","         52.43"
"BHARTIARTL","EQ","25-Jul-2018","        356.80","        355.10","        355.80","        343.50","        352.25","        352.30","        347.96","    4664164","          1622948047.55","      51539","    1199514","         25.72"
"BHARTIARTL","EQ","26-Jul-2018","        352.30","        353.05","        360.00","        352.35","        360.00","        357.65","        356.44","    3439808","          1226083661.55","      38223","     922131","         26.81"
"BHARTIARTL","EQ","27-Jul-2018","        357.65","        359.90","        373.90","        351.65","        362.25","        364.70","        363.22","    8126603","          2951743514.50","      92188","    1871434","         23.03"
"BHARTIARTL","EQ","30-Jul-2018","        364.70","        359.00","        388.90","        355.30","        385.40","        383.25","        374.32","    6737958","          2522138159.25","      65428","    2610447","         38.74"
"BHARTIARTL","EQ","31-Jul-2018","        383.25","        382.00","        392.55","        378.70","        390.00","        390.60","        388.29","    7296848","          2833269271.70","      71585","    3091470","         42.37"
"BHARTIARTL","EQ","01-Aug-2018","        390.60","        390.00","        399.00","        382.65","        384.10","        384.50","        391.75","    8512340","          3334676438.55","      81743","    4606901","         54.12"
"BHARTIARTL","EQ","02-Aug-2018","        384.50","        383.40","        384.75","        369.20","        372.45","        373.00","        374.22","    5575854","          2086602690.40","      73687","    1751482","         31.41"
"BHARTIARTL","EQ","03-Aug-2018","        373.00","        374.80","        376.90","        370.40","        374.85","        374.50","        373.61","    3287520","          1228260156.75","      38868","     854142","         25.98"
"BHARTIARTL","EQ","06-Aug-2018","        374.50","        374.85","        387.70","        374.70","        384.55","        385.75","        382.22","    3640662","          1391532776.95","      39736","     879191","         24.15"
"BHARTIARTL","EQ","07-Aug-2018","        385.75","        385.75","        386.80","        379.25","        381.20","        381.90","        382.15","    2190884","           837246512.00","      24326","     426276","         19.46"
"BHARTIARTL","EQ","08-Aug-2018","        381.90","        380.10","        387.90","        373.40","        385.20","        385.30","        380.21","    2993950","          1138321879.00","      51106","     707086","         23.62"
"BHARTIARTL","EQ","09-Aug-2018","        385.30","        386.30","        386.30","        364.50","        367.00","        367.05","        369.03","   11040336","          4074228264.60","      58961","    3428154","         31.05"
"BHARTIARTL","EQ","10-Aug-2018","        367.05","        368.20","        374.80","        365.10","        369.00","        369.80","        370.86","    4046462","          1500652161.95","      41202","     962694","         23.79"
"BHARTIARTL","EQ","13-Aug-2018","        369.80","        368.90","        375.75","        363.00","        370.00","        370.15","        371.52","    3817525","          1418280140.00","      43400","    1596608","         41.82"
"BHARTIARTL","EQ","14-Aug-2018","        370.15","        370.15","        372.70","        364.00","        366.50","        367.00","        367.16","    2897961","          1064002693.35","      42107","    1439785","         49.68"
"BHARTIARTL","EQ","16-Aug-2018","        367.00","        366.55","        374.00","        365.20","        372.30","        372.00","        370.00","    2715006","          1004550484.00","      39175","    1356223","         49.95"
"BHARTIARTL","EQ","17-Aug-2018","        372.00","        372.05","        375.00","        366.15","        369.75","        371.40","        369.39","    3030830","          1119561553.05","      62281","    1126618","         37.17"
"BHARTIARTL","EQ","20-Aug-2018","        371.40","        372.40","        373.85","        367.30","        371.90","        370.55","        370.78","    2557572","           948294802.05","      40426","    1006069","         39.34"
"BHARTIARTL","EQ","21-Aug-2018","        370.55","        364.00","        370.40","        363.10","        369.05","        368.25","        367.87","    3110530","          1144260206.80","      37834","    1056460","         33.96"
"BHARTIARTL","EQ","23-Aug-2018","        368.25","        372.30","        376.75","        368.10","        370.00","        369.90","        370.67","    4278039","          1585754683.35","      59478","    2405258","         56.22"
"BHARTIARTL","EQ","24-Aug-2018","        369.90","        370.00","        370.80","        365.00","        368.15","        368.95","        367.70","    2089422","           768282183.75","      26515","     806814","         38.61"
"BHARTIARTL","EQ","27-Aug-2018","        368.95","        370.00","        383.80","        367.40","        381.90","        379.15","        376.01","    5938671","          2233007394.25","      51952","    3103291","         52.26"
"BHARTIARTL","EQ","28-Aug-2018","        379.15","        382.35","        385.70","        375.40","        376.65","        376.80","        377.85","    3669920","          1386672077.85","      47216","    1468386","         40.01"
"BHARTIARTL","EQ","29-Aug-2018","        376.80","        378.00","        382.45","        372.75","        376.50","        374.90","        377.96","    4038807","          1526527275.65","      46204","    2191433","         54.26"
"BHARTIARTL","EQ","30-Aug-2018","        374.90","        377.30","        385.00","        375.65","        381.05","        383.10","        380.80","    7026818","          2675813511.65","      77683","    4041064","         57.51"
"BHARTIARTL","EQ","31-Aug-2018","        383.10","        379.85","        386.00","        376.00","        383.25","        383.85","        380.95","    7849613","          2990271963.85","     103793","    5066953","         64.55"
"BHARTIARTL","EQ","03-Sep-2018","        383.85","        387.00","        387.25","        380.45","        382.10","        383.80","        384.15","    3764539","          1446141429.80","      64135","    2162878","         57.45"
"BHARTIARTL","EQ","04-Sep-2018","        383.80","        382.30","        383.45","        375.70","        377.00","        378.35","        380.24","    2886141","          1097427982.05","      35361","    1488642","         51.58"
"BHARTIARTL","EQ","05-Sep-2018","        378.35","        375.00","        377.85","        366.25","        373.95","        372.05","        373.06","    5983744","          2232286284.85","      54833","    4147682","         69.32"
"BHARTIARTL","EQ","06-Sep-2018","        372.05","        373.95","        374.70","        368.10","        370.85","        372.30","        371.59","    2354020","           874732770.90","      38140","    1072899","         45.58"
"BHARTIARTL","EQ","07-Sep-2018","        372.30","        373.90","        391.30","        368.80","        389.30","        389.60","        383.91","    4923668","          1890257295.55","      75645","    2178211","         44.24"
"BHARTIARTL","EQ","10-Sep-2018","        389.60","        389.30","        397.50","        382.20","        387.35","        388.40","        387.87","    5059483","          1962406863.90","      54372","    2058811","         40.69"
"BHARTIARTL","EQ","11-Sep-2018","        388.40","        388.50","        392.40","        377.45","        379.10","        378.70","        381.85","    5241423","          2001419163.45","      61811","    1265359","         24.14"
"BHARTIARTL","EQ","12-Sep-2018","        378.70","        380.90","        382.15","        371.80","        376.20","        376.70","        377.10","    3664475","          1381874342.10","      57357","    1480508","         40.40"
"BHARTIARTL","EQ","14-Sep-2018","        376.70","        378.00","        388.20","        373.00","        385.25","        383.60","        378.39","    3241639","          1226613538.35","      63391","    1259111","         38.84"
"BHARTIARTL","EQ","17-Sep-2018","        383.60","        380.15","        391.00","        377.10","        382.00","        382.05","        384.11","    3086233","          1185459020.35","      41333","     650455","         21.08"
"BHARTIARTL","EQ","18-Sep-2018","        382.05","        380.20","        384.80","        372.55","        374.15","        373.70","        377.99","    2663263","          1006689203.25","      35219","    1082084","         40.63"
"BHARTIARTL","EQ","19-Sep-2018","        373.70","        374.50","        380.40","        360.30","        361.85","        370.05","        373.93","    1966708","           735409098.85","      39430","     392998","         19.98"
"BHARTIARTL","EQ","21-Sep-2018","        370.05","        364.90","        379.85","        357.25","        373.45","        370.50","        368.24","    5503664","          2026667477.45","      62098","    2710593","         49.25"
"BHARTIARTL","EQ","24-Sep-2018","        370.50","        370.40","        372.90","        350.50","        355.95","        356.20","        356.85","    7105527","          2535578712.25","      75274","    4289956","         60.37"
"BHARTIARTL","EQ","25-Sep-2018","        356.20","        359.20","        363.65","        344.00","        359.90","        360.50","        350.66","    6177721","          2166300648.95","     109541","    2729740","         44.19"
"BHARTIARTL","EQ","26-Sep-2018","        360.50","        363.00","        365.00","        357.15","        360.70","        361.30","        360.58","    3964043","          1429370151.50","      67664","    2071064","         52.25"
"BHARTIARTL","EQ","27-Sep-2018","        361.30","        361.50","        363.45","        354.65","        358.70","        356.80","        358.63","    4041142","          1449278106.00","      92132","    2774221","         68.65"
"BHARTIARTL","EQ","28-Sep-2018","        356.80","        356.80","        359.00","        335.15","        340.00","        338.55","        342.35","   11183009","          3828483818.85","     155523","    7284199","         65.14"
"BHARTIARTL","EQ","01-Oct-2018","        338.55","        339.00","        340.00","        321.70","        324.40","        326.75","        326.95","    9794496","          3202274997.90","     107729","    6234806","         63.66"
"BHARTIARTL","EQ","03-Oct-2018","        326.75","        326.00","        327.30","        316.35","        316.35","        318.45","        320.89","    6659938","          2137080580.30","     101137","    2663089","         39.99"
"BHARTIARTL","EQ","04-Oct-2018","        318.45","        315.35","        317.45","        302.15","        310.40","        310.15","        310.94","    8083991","          2513639066.40","      97040","    3983564","         49.28"
"BHARTIARTL","EQ","05-Oct-2018","        310.15","        308.50","        315.90","        291.90","        296.40","        298.60","        306.64","    7168719","          2198187034.70","     108889","    3895365","         54.34"
"BHARTIARTL","EQ","08-Oct-2018","        298.60","        298.80","        298.80","        291.00","        295.00","        295.20","        294.64","    9026370","          2659569851.00","     152705","    5687659","         63.01"
"BHARTIARTL","EQ","09-Oct-2018","        295.20","        296.25","        296.90","        287.00","        288.60","        289.00","        289.74","    8561269","          2480521183.30","      97096","    5289587","         61.79"
"BHARTIARTL","EQ","10-Oct-2018","        289.00","        289.00","        303.80","        284.20","        294.15","        295.10","        292.67","   10215590","          2989792162.90","     131207","    5448805","         53.34"
"BHARTIARTL","EQ","11-Oct-2018","        295.10","        288.95","        294.80","        282.25","        285.25","        285.35","        287.94","    4681303","          1347912965.80","      96167","    2208987","         47.19"
"BHARTIARTL","EQ","12-Oct-2018","        285.35","        288.00","        292.60","        284.65","        289.05","        290.05","        288.74","    9008275","          2601040247.70","     110465","    4831660","         53.64"
"BHARTIARTL","EQ","15-Oct-2018","        290.05","        290.05","        293.00","        284.05","        292.40","        291.10","        288.10","    2607240","           751158708.35","      69426","     755439","         28.97"
"BHARTIARTL","EQ","16-Oct-2018","        291.10","        292.40","        295.90","        289.20","        294.60","        294.00","        293.11","    3011299","           882651090.70","      57580","    1056490","         35.08"
"BHARTIARTL","EQ","17-Oct-2018","        294.00","        296.50","        298.35","        284.65","        290.00","        288.50","        291.49","    3877700","          1130301973.30","      75912","    1216662","         31.38"
"BHARTIARTL","EQ","19-Oct-2018","        288.50","        287.00","        293.20","        284.60","        286.90","        287.30","        288.70","    3730327","          1076956194.35","      52197","    1503219","         40.30"
"BHARTIARTL","EQ","22-Oct-2018","        287.30","        289.45","        290.00","        276.85","        289.45","        285.75","        283.70","    6531421","          1852939722.70","      97890","    3003702","         45.99"
